ID,TB,e_TB,VLSR,e_VLSR,DelV,e_DelV,tau,e_tau,Ts,e_Ts,Tkmax,NHI,ForO
3C067,1.88,0.06,-25.8,0.1,4.71,0.18,0.006,-99,331.,-999,835,0.17,1.0
3C067,1.95,0.00,-11.6,0.4,41.30,0.64,0.004,-99,438.,-999,2077,1.27,0.0
3C067,5.34,-9,-5.8,0.1,4.81,0.18,0.096,0.002,69.10,8.88,325,0.62,2.
3C067,21.02,0.35,-2.3,0.2,9.75,0.17,0.017,-99,1254.,-999,861,3.99,0.5
3C067,23.05,-9,-0.3,0.0,2.14,0.04,0.412,0.008,42.88,8.28,607,0.74,0.
3C067,17.71,-9,1.2,0.1,5.99,0.13,0.186,0.005,89.34,14.82,489,1.94,1.
3C067,3.41,0.19,8.3,0.2,6.28,0.31,0.001,-99,6748.,-999,485,0.41,0.0
3C068.2,1.24,0.04,-19.8,1.4,30.94,2.61,0.009,-99,141.,-999,20919,0.55,0.0
3C068.2,5.09,-9,-6.2,0.0,2.58,0.07,0.270,0.000,19.75,8.88,144,0.27,0.
3C068.2,-0.09,-9,-3.0,0.1,2.63,0.24,0.088,0.004,4.11,8.28,151,0.02,3.
3C068.2,20.81,1.16,-2.7,0.1,10.42,0.25,0.015,-99,1422.,-999,2370,4.22,0.0
3C068.2,31.03,-9,1.3,0.0,2.04,0.05,0.901,0.040,43.82,14.82,91,1.57,2.
3C068.2,16.32,-9,3.1,0.6,3.88,0.62,0.109,0.017,140.94,5.04,328,1.15,1.
3C068.2,3.44,0.67,5.6,2.1,15.15,1.97,0.019,-99,179.,-999,5017,0.96,1.0
3C092,1.01,0.06,-53.1,0.3,8.43,0.67,0.012,-99,86.,-999,119698,0.12,0.0
3C092,1.32,0.04,-18.6,0.9,74.01,2.51,0.006,-99,224.,-999,3173,1.18,0.0
3C092,3.45,0.06,-4.9,0.2,12.05,0.48,0.003,-99,1118.,-999,1661,0.81,0.0
3C092,6.36,-9,6.8,0.0,2.22,0.06,1.085,0.040,26.89,8.28,151,1.26,2.
3C092,6.36,-9,6.9,0.5,5.56,0.35,0.606,0.114,49.09,8.88,144,3.23,1.
3C092,49.81,0.62,7.3,0.0,8.72,0.03,0.003,-99,19811.,-999,328,8.46,1.0
3C092,4.39,-9,9.7,0.1,3.82,0.12,1.504,0.158,23.70,14.82,91,2.65,0.
3C093.1,1.86,0.10,-21.2,0.2,9.89,0.69,0.005,-99,386.,-999,1240,0.36,0.0
3C093.1,4.37,0.07,-13.1,0.3,47.01,0.74,0.002,-99,2702.,-999,328,3.60,0.0
3C093.1,36.62,-9,6.2,0.0,1.62,0.09,0.408,0.031,44.35,8.28,151,0.57,0.
3C093.1,33.75,0.59,7.2,0.0,7.53,0.06,0.003,-99,11047.,-999,48303,4.95,0.0
3C093.1,35.18,-9,7.7,0.0,4.45,0.04,1.189,0.043,45.36,8.88,144,4.67,2.
3C093.1,35.58,-9,8.8,0.0,1.36,0.03,1.302,0.036,23.35,14.82,91,0.80,1.
3C108,1.91,0.05,-24.1,0.9,29.33,1.70,0.004,-99,425.,-999,18806,0.92,0.0
3C108,1.55,-9,-5.7,0.5,4.73,1.19,0.011,0.002,64.12,8.88,144,0.07,2.
3C108,5.21,0.18,-0.7,0.1,4.69,0.14,0.007,-99,792.,-999,481,0.48,1.0
3C108,12.88,-9,4.0,0.3,7.52,0.69,0.064,0.002,194.98,8.28,151,1.82,1.
3C108,9.76,0.19,6.7,0.3,23.59,0.31,0.001,-99,13061.,-999,12158,4.42,0.0
3C108,29.59,-9,7.6,0.0,1.99,0.05,0.473,0.009,58.26,14.82,91,1.07,0.
3C108,37.55,-9,9.9,0.0,2.10,0.02,1.202,0.010,49.52,5.04,328,2.44,3.
3C131,16.27,-9,-39.5,0.0,3.74,0.09,0.156,0.003,100.90,8.88,144,1.15,2.
3C131,3.41,-9,-34.0,0.1,2.00,0.33,0.029,0.004,75.15,8.28,151,0.09,3.
3C131,2.28,-9,-24.1,0.2,3.37,0.50,0.026,0.003,114.31,14.82,91,0.20,4.
3C131,9.18,0.15,-18.5,0.3,53.41,0.68,0.008,-99,1163.,-999,745,8.82,0.0
3C131,4.62,-9,-15.9,0.3,6.76,0.70,0.030,0.002,227.36,5.04,328,0.89,1.
