ID,TB,e_TB,VLSR,e_VLSR,DelV,e_DelV,tau,e_tau,Ts,e_Ts,Tkmax,NHI,ForO
 ,K,K,km/s,km/s,km/s,km/s, , ,K,K,K,10+20/cm2,
---------,-----,-----,------,-----,-----,-----,------,------,----,---,------,-----,----
3C067    ,1.88,0.06,-25.77,0.07,4.71,0.18,0.007,-88,269,-99,485,0.17,1
3C067    ,1.95,0,-11.58,0.35,41.3,0.64,0.006,-88,325,-99,37286,1.57,0
3C067    ,6.32,-77,-5.82,0.1,4.81,0.18,0.096,0.002,69,9,506,0.62,2
3C067    ,21.02,0.35,-2.29,0.18,9.75,0.17,0.014,-88,1501,-99,2078,3.99,0.5
3C067    ,14.52,-77,-0.29,0.01,2.14,0.04,0.412,0.008,43,8,100,0.74,0
3C067    ,15.11,-77,1.2,0.11,5.99,0.13,0.186,0.005,89,15,784,1.93,1
3C067    ,3.41,0.19,8.3,0.21,6.28,0.31,0.008,-88,426,-99,862,0.42,0
3C068.2  ,1.24,0.04,-19.8,1.36,30.94,2.61,0.017,-88,73,-99,20926,0.75,0
3C068.2  ,4.73,-77,-6.22,0.03,2.58,0.07,0.27,0,20,5,146,0.27,0
3C068.2  ,0.34,-77,-2.99,0.09,2.63,0.24,0.088,0.004,4,7,151,0.02,3
3C068.2  ,20.81,1.16,-2.66,0.15,10.42,0.25,0.033,-88,631,-99,2373,4.22,0
3C068.2  ,26.13,-77,1.26,0.01,2.04,0.05,0.901,0.04,44,6,91,1.58,2
3C068.2  ,14.56,-77,3.13,0.55,3.88,0.62,0.109,0.017,141,6,329,1.16,1
3C068.2  ,3.44,0.67,5.65,2.06,15.15,1.97,0.028,-88,123,-99,5017,1.02,1
3C092    ,1.01,0.06,-53.05,0.25,8.43,0.67,0.014,-88,72,-99,1553,0.17,0
3C092    ,1.32,0.04,-18.63,0.87,74.01,2.51,0.013,-88,102,-99,119738,1.9,0
3C092    ,3.45,0.06,-4.87,0.22,12.05,0.48,0.013,-88,265,-99,3174,0.81,0
3C092    ,17.88,-77,6.8,0.03,2.22,0.06,1.085,0.04,27,18,108,1.27,2
3C092    ,22.27,-77,6.85,0.51,5.56,0.35,0.606,0.114,49,36,676,3.22,1
3C092    ,49.81,0.62,7.31,0.02,8.72,0.03,0.041,-88,1215,-99,1662,8.46,1
